Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-05-23,Sinners,2025,https://boxd.it/9LGAJv,5,,The dance sequence was so peak.Ryan coogler you are a genius,"theatre watch, 2025",2025-05-22
2025-05-25,Snatch,2000,https://boxd.it/9N1eAn,4.5,,"Hilarious movie, I just wish I understood whatever the hell Brad Pitt was yapping tho",2000,2025-05-24
2025-05-28,Nope,2022,https://boxd.it/9OZLXD,3.5,,Alternative title: Don't look up,2022,2025-05-27
2025-05-28,Remember the Titans,2000,https://boxd.it/9PyIAV,3,,"never quite understood why its called  football when you clearly use your hands to handle the ball ,good movie  tho
",2000,2025-05-28
2025-06-05,Grave of the Fireflies,1988,https://boxd.it/9TV9fb,4.5,,I now feel broken and devastated thanks to this movie .,1988,2025-06-04
2025-06-08,Sinners,2025,https://boxd.it/9VHnG1,5,Yes,It hits the same even on a second watch,"rewatch, 2025",2025-06-07
2025-06-19,Enemy,2013,https://boxd.it/a2S7Rd,4,,"*opens YouTube and clicks on ""enemy explained""",2013,2025-06-19
2025-06-21,Drive,2011,https://boxd.it/a3Yqgr,5,Yes,This movie will always have a special place in my heart,"rewatch, 2011",2025-06-20
2025-06-24,Little Miss Sunshine,2006,https://boxd.it/a6fDu9,4.5,,Beautiful just beautiful 💛.,2006,2025-06-23
2025-07-03,Speed,1994,https://boxd.it/ac386Z,3.5,,Loved the film but physics doesn't work that way,1994,2025-07-02
2025-07-05,Coherence,2013,https://boxd.it/adkO7t,3.5,,Wtaf,2013,2025-07-04
2025-07-08,Secret Window,2004,https://boxd.it/afzxut,3,,Saw the twist coming from miles away,2004,2025-07-07
2025-07-10,F1,2025,https://boxd.it/agU4dJ,4.5,,Movie so good it might have just converted me into an F1 fan,"theatre watch, 2025",2025-07-09
2025-07-16,Blade Runner 2049,2017,https://boxd.it/alFw3n,5,Yes,Visuals better than my eyesight,"rewatch, 2017",2025-07-15
2025-07-29,Memento,2000,https://boxd.it/aw5tUb,5,Yes,Christopher Nolan's best?,"rewatch, 2000",2025-07-28
2025-08-05,Oldboy,2003,https://boxd.it/aBI6RV,4,,The twist TWISTED!!,2003,2025-08-04
2025-10-04,The Fantastic 4: First Steps,2025,https://boxd.it/bfzUln,3.5,,Poor baby had to go through allat,2025,2025-10-03
2025-11-06,Baby Driver,2017,https://boxd.it/bBYRaJ,4,,"Soundtrack was so good,my Shazam was working overtime.",2017,2025-11-05
2025-11-16,One Battle After Another,2025,https://boxd.it/bIS6Yt,5,,"Oh, to experience this masterpiece in theatres. I loved every second of it, and the car chase scene at the end was chef’s kiss.",2025,2025-11-15
2025-12-10,"Love, Death & Robots: Pop Squad",2021,https://boxd.it/bZVUDT,4,,Gave me blade runner vibes,2021,2025-12-10
2025-12-13,Wake Up Dead Man,2025,https://boxd.it/c1t3St,4,,"Rian Johnson,please  never stop making these.The world needs more Benoit Blanc mysteries.🙏🏿",2025,2025-12-13
2025-12-24,Napoleon Dynamite,2004,https://boxd.it/cbPJSf,4,,Napoleon's dance moves tho 🕺🏿🕺🏿!!,2004,2025-12-23
2025-12-30,The Holdovers,2023,https://boxd.it/cj9yFd,4.5,,had me tearing up and everything,2023,2025-12-29
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/cmAwmJ,3.5,,"First of all, Sadie Sink—the woman that you are.
Personally, this season didn’t hit the way I thought it would  but fair play to the Duffer Brothers for sticking the landing. There were some great performances in this episode, though it was a wee bit too long at two hours and could definitely have done without some scenes .All that being said, I enjoyed the show while it lasted.",2025,2026-01-01
2026-01-21,Waves,2019,https://boxd.it/cJVW4b,4.5,,"Loved every bit of this movie: the cinematography was immaculate, the score gives you that emotional feeling and leaves you guessing what’s about to happen next, the acting was top-notch by the entire cast, and the soundtrack goes so fucking hard too.
",2019,2026-01-20
2026-02-05,HIS & HERS,2026,https://boxd.it/cZSi7d,3.5,,"thought I’d figured out the twist, but boy was I in for a ride 💀",2026,2026-02-05
2026-02-06,Arrival,2016,https://boxd.it/d04qmJ,5,Yes,Gave it a second watch and loved it even more. Somehow even more devastating when you know where it’s going.,"rewatch, fck u villeneuve for making me emotional, 2016",2026-02-05
2026-02-18,John Wick: Chapter 4,2023,https://boxd.it/dbk4zH,5,Yes,Hands down the best choreographed action film i've ever watched... and  the stairs were paid actors i swear 😂,2024,2026-02-17
2026-03-02,The Departed,2006,https://boxd.it/dlSdTz,4.5,,"""This is cinema"",Martin Scorsese",2006,2026-03-01
2026-03-06,"Gorillaz Present: The Mountain, The Moon Cave and The Sad God",2026,https://boxd.it/dp6rp9,,,The entire album was peak!!,2026,2026-03-05
2026-03-18,Irreversible,2002,https://boxd.it/dyU0Zl,3.5,,Speechless,2002,2026-03-17
2026-03-21,Project Hail Mary,2026,https://boxd.it/dBdIqb,4.5,,"One of my most anticipated movies of the year, and I’m glad it didn’t disappoint. Enthralling from the first minute, filled with breathtaking visuals and genuinely funny moments. Overall, a feel-good film 👎👎 (trust me it makes sense).","theatre watch, 2026",2026-03-20
2026-03-29,Dune: Part Two,2024,https://boxd.it/dIMmNl,5,Yes,Fight to the death with your cousin for political power… and (most importantly) Florence Pugh? Say fucking less.,"rewatch, 2024",2026-03-29
2026-05-01,Michael,2026,https://boxd.it/eaSUND,4,,There will never be another Michael Jackson. Not even close.,"theatre watch, 2026",2026-04-30
2026-06-01,Perfect Days,2023,https://boxd.it/eAAOPL,4.5,,"This movie is the cinematic equivalent of a breath of fresh air in the morning.No plot, just vibes and raw emotions, but a very therapeutic experience nonetheless",2023,2026-05-31
